name,pick_1,pick_2,pick_3,pick_4
AA,9,5,1,2
AB,1,10,7,6
AC,5,7,8,8
AD,3,9,4,4
AE,10,5,4,9
AF,9,9,1,6
AG,9,0,4,2
AH,6,3,7,3
AI,4,9,0,1
AJ,10,10,2,0
AK,5,7,10,5
AL,6,6,1,1
AM,7,9,7,1
AN,8,1,2,2
AO,9,2,6,5
AP,1,6,0,6
AQ,9,4,6,0
AR,3,2,10,3
AS,9,8,2,2
AT,8,3,8,3
AU,5,10,9,6
AV,1,9,8,5
AW,0,0,10,7
AX,10,6,8,2
AY,7,7,7,7
AZ,0,7,6,7
BA,2,1,9,7
BB,7,6,5,4
BC,10,6,7,3
BD,2,2,0,7
BE,8,0,5,5
BF,4,5,8,1
BG,5,7,10,2
BH,1,3,10,6
BI,9,4,8,6
BJ,10,2,10,5
BK,2,4,10,4
BL,10,7,7,5
BM,9,6,0,6
BN,0,7,1,1
BO,4,6,0,8
BP,4,6,4,10
BQ,7,8,4,7
BR,0,10,1,2
BS,5,8,5,1
BT,0,7,10,10
BU,6,4,9,8
BV,6,1,0,7
BW,1,10,4,2
BX,5,1,7,3
BY,0,7,6,0
BZ,10,4,9,2
CA,7,6,0,0
CB,2,4,3,6
CC,0,9,4,1
CD,7,10,4,9
CE,0,7,3,7
CF,8,3,10,4
CG,0,10,10,10
CH,6,1,4,1
CI,2,3,10,7
CJ,6,8,4,2
CK,2,4,8,0
CL,7,8,7,1
CM,4,7,6,1
CN,3,8,3,9
CO,1,5,10,6
CP,0,1,4,3
CQ,0,10,9,7
CR,3,7,7,3
CS,9,2,2,1
CT,9,6,1,9
CU,7,9,1,7
CV,7,3,7,2
CW,7,4,3,9
CX,5,5,1,3
CY,6,7,0,2
CZ,9,2,5,10
DA,4,10,4,9
DB,2,10,1,1
DC,2,4,3,10
DD,10,3,4,9
DE,3,2,10,2
DF,4,0,2,7
DG,3,8,5,8
DH,5,8,8,0
DI,6,7,8,5
DJ,5,5,2,10
DK,3,2,10,5
DL,7,5,5,10
DM,2,5,1,7
DN,10,0,8,8
DO,6,0,2,0
DP,0,6,6,7
DQ,7,2,9,6
DR,10,10,2,1
DS,2,1,0,2
DT,8,0,9,2
DU,5,9,1,0
DV,9,2,5,5
DW,3,2,2,5
DX,10,6,6,3
DY,0,1,4,5
DZ,0,8,2,10
EA,10,0,8,7
EB,0,5,10,8
EC,8,8,10,6
ED,1,7,4,9
EE,4,8,3,7
EF,0,6,2,6
EG,1,3,10,1
EH,10,2,9,3
EI,3,9,5,9
EJ,5,7,6,9
EK,2,2,3,7
EL,1,6,9,9
EM,0,8,10,6
EN,2,7,2,2
EO,8,5,10,2
EP,8,6,4,8
EQ,10,3,4,7
ER,5,8,2,2
ES,6,3,6,10
ET,5,9,2,10
EU,7,0,3,5
EV,2,4,0,6
EW,0,1,1,6
EX,5,7,2,4
EY,9,2,10,10
EZ,10,7,7,6
FA,2,9,1,10
FB,9,1,5,6
FC,2,3,5,5
FD,6,1,5,8
FE,3,5,6,2
FF,10,0,4,4
FG,7,0,4,1
FH,4,2,4,10
FI,7,6,5,4
FJ,5,6,1,7
FK,3,5,3,5
FL,7,7,10,2
FM,1,5,7,7
FN,1,4,1,3
FO,2,0,10,0
FP,9,8,4,3
FQ,1,4,3,6
FR,2,3,10,4
FS,3,2,7,8
FT,10,6,9,9
FU,5,7,3,4
FV,2,9,1,8
FW,8,2,2,3
FX,7,9,1,9
FY,7,8,3,4
FZ,8,8,0,1
GA,6,7,7,10
GB,0,10,2,9
GC,3,9,5,1
GD,6,2,8,8
GE,1,4,6,6
GF,7,6,2,2
GG,1,0,9,3
GH,4,2,0,10
GI,9,1,6,3
GJ,9,7,7,3
GK,7,1,1,7
GL,8,8,2,5
GM,0,8,6,8
GN,0,8,2,10
GO,0,9,4,5
GP,5,10,7,5
GQ,5,8,6,2
GR,8,5,8,10
GS,6,1,7,4
GT,5,1,2,0
GU,10,5,3,2
GV,9,8,10,5
GW,4,5,6,7
GX,10,5,7,6
GY,7,3,7,6
GZ,7,9,1,9
HA,7,6,1,7
HB,5,4,7,0
HC,2,5,3,7
HD,4,4,0,8
HE,6,1,10,2
HF,9,5,7,4
HG,4,10,2,6
HH,9,0,5,3
HI,2,3,8,2
HJ,7,6,9,4
HK,3,4,10,10
HL,9,2,6,10
HM,0,9,10,1
HN,5,6,1,5
HO,9,9,5,10
HP,1,0,7,7
HQ,9,9,2,10
HR,0,3,6,7
HS,4,3,5,9
HT,0,7,2,9
HU,3,6,1,0
HV,6,6,10,8
HW,10,1,2,6
HX,4,4,9,5
HY,7,3,2,2
HZ,6,10,8,4
IA,7,6,6,10
IB,1,7,3,5
IC,3,3,0,5
ID,9,7,2,4
IE,5,6,8,10
IF,2,2,6,2
IG,5,1,4,5
IH,8,4,8,2
II,4,2,4,9
IJ,9,8,7,3
IK,7,0,2,1
IL,3,6,5,6
IM,5,1,2,5
IN,1,2,4,5
IO,2,5,3,8
IP,1,9,0,5
IQ,1,9,4,7
IR,1,9,2,0
IS,7,1,10,8
IT,2,8,6,2
IU,9,7,0,3
IV,0,7,3,3
IW,0,9,0,2
IX,4,0,0,3
IY,7,5,8,8
IZ,0,9,6,3
JA,7,8,9,5
JB,1,0,0,9
JC,3,3,10,10
JD,8,8,5,6
JE,10,6,10,9
JF,2,9,7,10
JG,8,7,2,4
JH,6,5,0,3
JI,7,0,5,2
JJ,10,7,7,1
JK,4,9,3,2
JL,1,7,4,8
JM,10,4,8,5
JN,10,4,5,1
JO,0,5,8,1
JP,2,3,6,4
JQ,4,5,1,3
JR,1,10,5,6
JS,3,4,8,10
JT,7,6,10,8
JU,1,9,0,10
JV,5,1,2,6
JW,3,10,4,0
JX,8,0,4,3
JY,5,8,10,9
JZ,9,4,4,8
KA,2,10,5,3
KB,1,3,7,2
KC,4,5,8,1
KD,10,10,5,3
KE,4,2,2,9
KF,6,5,0,2
KG,0,10,9,5
KH,7,0,7,3
KI,9,10,7,3
KJ,6,3,2,9
KK,5,9,4,4
KL,9,10,3,4
KM,2,1,5,4
KN,10,2,0,9
KO,5,10,10,7
KP,1,5,10,9
KQ,0,10,4,7
KR,3,4,8,8
KS,2,2,3,1
KT,5,3,5,4
KU,9,2,0,0
KV,4,9,7,8
KW,8,1,9,10
KX,3,6,5,3
KY,9,8,2,0
KZ,8,6,10,6
LA,4,0,5,7
LB,1,7,8,0
LC,5,0,10,8
LD,10,4,0,2
LE,3,9,3,3
LF,0,7,7,4
LG,8,2,2,0
LH,7,0,3,0
LI,9,8,10,0
LJ,1,9,9,6
LK,10,7,8,10
LL,6,0,7,10
LM,8,8,1,6
LN,0,8,9,9
LO,8,9,1,5
LP,10,4,8,6
LQ,5,9,7,10
LR,4,1,4,3
LS,1,8,1,0
LT,0,1,1,1
LU,6,3,1,9
LV,6,3,3,3
LW,9,4,7,7
LX,2,2,1,9
LY,4,2,5,7
LZ,4,5,5,1
MA,1,10,5,2
MB,2,2,2,9
MC,5,3,8,6
MD,2,6,6,4
ME,6,4,10,4
MF,6,3,6,10
MG,10,6,9,2
MH,10,5,2,6
MI,5,0,7,9
MJ,4,5,0,3
MK,8,6,0,10
ML,10,1,4,7
MM,2,7,8,9
MN,8,1,6,9
MO,0,3,5,2
MP,9,8,8,7
MQ,7,1,0,2
MR,1,9,8,4
MS,4,5,0,5
MT,7,4,2,8
MU,1,8,6,2
MV,3,1,6,2
MW,7,1,5,0
MX,5,8,0,3
MY,7,9,0,5
MZ,1,5,2,4
NA,2,5,4,9
NB,1,1,5,8
NC,6,9,8,5
ND,9,9,0,10
NE,0,5,5,0
NF,4,4,4,0
NG,7,3,10,3
NH,8,3,4,6
NI,5,7,5,0
NJ,8,6,10,3
NK,1,5,9,1
NL,10,5,5,10
NM,3,1,3,2
NN,6,7,3,1
NO,6,0,5,1
NP,9,4,9,2
NQ,7,7,3,10
NR,5,8,3,0
NS,0,10,5,4
NT,10,10,10,0
NU,6,7,4,0
NV,9,9,7,9
